SID,Age,Sex,Language,Experimenter,Entered_By,Exclude_analysis,Exclude_analysis_reason,Exclude_task,Excluded_task,Exclude_task_reason,Task,Trial_number,Task_item,Response_single,Response_double,Response_final,Correct,Mem_check_1_single,Mem_check_1_double,Mem_check_1_final,Mem_check_2_single,Mem_check_2_double,Mem_check_2_final,Notes_single_coding,Notes_double,Exclude_trial,Exclude_trial_single_reason
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,10,TireHydrant,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,11,CloverKite,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,12,PresentDucck,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,13,BellRainbowChair,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,14,BlockHatDrum,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,15,MugHourglassBlock,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,16,HatChairRainbow,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,17,HourglassMugBell,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,18,DrumRainbowHourglass,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,19,BellBlockHat,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,20,ChairDrumMug,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,21,RainbowMugHat,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,22,HourglassBellChair,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,23,PlanetShoeClockStar,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,24,HourglassKiteBlockHeart,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,25,StarBookHourglassShoe,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,26,KiteTirePlanetBlock,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,27,BookHeartTireClock,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,28,BlockPlanetKiteHourglass,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,29,SunDrumRainbowHydrantClock,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,30,BalloonCloverBookPlanetMug,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,31,BookClockBalloonSunPlanet,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,32,DrumMugHydrantCloverRainbow,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,33,LeafTireHatClockShoeDuck,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,34,StarBellRainbowChairCakePresent,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-J,3.887748118,F,Slovenian,Vesna,JA,,,,,,WPPSI,35,RainbowPresentCakeHatShoeBellLeaf,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,GiveN,1,6,NA,6,6,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,GiveN,2,9,NA,10,10,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,GiveN,3,7,NA,7,7,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,GiveN,4,5,NA,10,10,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,Training,1,2,2,2,1,1,1,1,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,1,5,7,7,7,0,1,1,1,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,2,7,8,8,8,1,1,1,1,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,3,16,18,18,18,0,1,1,1,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,4,24,26,26,26,0,1,1,1,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,5,52,54,54,54,0,0,0,0,0,0,0,memory check 2: 32,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,6,71,73,73,73,0,0,0,0,1,1,1,memory check 1: 7,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,7,105,107,107,107,0,1,1,1,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,8,107,109,109,109,0,1,1,1,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,9,116,118,118,118,0,1,1,1,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,10,224,225,225,225,1,0,0,0,0,0,0,"memory check 1: 24, memory check 2: 24",,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,11,252,253,253,253,1,0,0,0,0,0,0,"mc1: 202, mc2: 24",,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,SF,12,271,272,272,272,1,0,0,0,0,0,0,"mc1: 71, mc2: 56",,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,Training,1,3,3,3,0,1,,1,1,,1,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,1,5,"0, 5",5,5,0,,,,,,,Next number reminder,Next Number!,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,2,7,7,7,7,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,3,16,16,16,16,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,4,24,24,24,24,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,5,52,52,52,52,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,6,71,72,72,72,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,7,105,105,105,105,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,8,107,107,107,107,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,9,116,116,116,116,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,10,224,126,126,126,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,11,252,52,52,52,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,NN,12,271,52,52,52,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,Training,Apple,0,0,0,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,1,Sun,0,0,0,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,2,Book,1,1,1,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,3,Cake,1,1,1,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,4,Leaf,1,1,1,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,5,Balloon,1,1,1,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,6,Leaf,1,1,1,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,Sample Item B,SockFlower,0,0,0,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,7,PresentTire,1,1,1,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,8,KiteHydrant,1,1,1,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,9,DuckClover,1,1,1,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,10,TireHydrant,1,1,1,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,11,CloverKite,1,1,1,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,12,PresentDucck,1,1,1,1,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,13,BellRainbowChair,0,0,0,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,14,BlockHatDrum,0,0,0,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,15,MugHourglassBlock,0,0,0,0,,,,,,,,,0,
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,16,HatChairRainbow,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,17,HourglassMugBell,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,18,DrumRainbowHourglass,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,19,BellBlockHat,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,20,ChairDrumMug,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,21,RainbowMugHat,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,22,HourglassBellChair,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,23,PlanetShoeClockStar,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,24,HourglassKiteBlockHeart,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,25,StarBookHourglassShoe,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,26,KiteTirePlanetBlock,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,27,BookHeartTireClock,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,28,BlockPlanetKiteHourglass,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,29,SunDrumRainbowHydrantClock,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,30,BalloonCloverBookPlanetMug,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,31,BookClockBalloonSunPlanet,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,32,DrumMugHydrantCloverRainbow,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,33,LeafTireHatClockShoeDuck,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,34,StarBellRainbowChairCakePresent,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-M,3.646817248,M,Slovenian,Vesna,JA,,,,,,WPPSI,35,RainbowPresentCakeHatShoeBellLeaf,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,GiveN,1,6,NA,3,3,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,GiveN,2,9,NA,9,9,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,GiveN,3,7,NA,3,3,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,GiveN,4,5,NA,5,5,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks - kept saying 13 for both,SF,Training,1,2,2,2,1,0,0,0,0,0,0,succeed on 3rd check,Succeed on third check (mem),1,excluded
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks,SF,1,5,6,6,6,1,0,0,0,0,0,0,"mc1: 2, mc2: so many",,1,excluded
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks,SF,2,7,9,9,9,0,0,0,0,0,0,0,"mc1: so many, mc2: so many",,1,excluded
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks,SF,3,16,17,17,17,1,0,0,0,0,0,0,,,1,excluded
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks,SF,4,24,26,26,26,0,0,0,0,0,0,0,"mc1: 13, mc2: 13",,1,excluded
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks,SF,5,52,53,53,53,1,0,0,0,0,0,0,"mc1: 13, mc2: 13, first response 13 second response 53","First response is 13, Only second response 53",1,excluded
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks,SF,6,71,73,73,73,0,0,0,0,0,0,0,"mc1: 13, mc2: 13",,1,excluded
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks,SF,7,105,106,106,106,1,0,0,0,0,0,0,"mc1: 13, mc2: 13",,1,excluded
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks,SF,8,107,9,,9,0,0,0,0,0,0,0,"mc1: 13, mc2: 13, first response 9, second response 9","First response 9, second response 9",1,excluded
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks,SF,9,116,14,,14,0,0,0,0,0,0,0,"mc1: 13, mc2: 13, response 14",Response: 14,1,excluded
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks,SF,10,224,NA,NA,NA,NA,NA,,NA,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks,SF,11,252,NA,NA,NA,NA,NA,,NA,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,SF,did not seem to understand SF or WCN tasks,SF,12,271,NA,NA,NA,NA,NA,,NA,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks - kept saying 13 for both,NN,Training,1,16,16,16,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks,NN,1,5,13,13,13,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks,NN,2,7,21,21,21,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks,NN,3,16,13,13,13,0,,,,,,,Next number reminder,Next Number!,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks,NN,4,24,13,13,13,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks,NN,5,52,13,13,13,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks,NN,6,71,13,13,13,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks,NN,7,105,13,13,13,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks,NN,8,107,13,13,13,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks,NN,9,116,13,13,13,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks,NN,10,224,7,7,7,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks,NN,11,252,13,13,13,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,1,NN,did not seem to understand SF or WCN tasks,NN,12,271,13,13,13,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,Training,Apple,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,1,Sun,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,2,Book,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,3,Cake,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,4,Leaf,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,5,Balloon,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,6,Leaf,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,Sample Item B,SockFlower,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,7,PresentTire,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,8,KiteHydrant,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,9,DuckClover,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,10,TireHydrant,0,0,0,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,11,CloverKite,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,12,PresentDucck,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,13,BellRainbowChair,1,1,1,1,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,14,BlockHatDrum,0,0,0,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,15,MugHourglassBlock,0,0,0,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,16,HatChairRainbow,0,0,0,0,,,,,,,,,0,
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,17,HourglassMugBell,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,18,DrumRainbowHourglass,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,19,BellBlockHat,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,20,ChairDrumMug,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,21,RainbowMugHat,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,22,HourglassBellChair,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,23,PlanetShoeClockStar,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,24,HourglassKiteBlockHeart,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,25,StarBookHourglassShoe,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,26,KiteTirePlanetBlock,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,27,BookHeartTireClock,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,28,BlockPlanetKiteHourglass,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,29,SunDrumRainbowHydrantClock,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,30,BalloonCloverBookPlanetMug,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,31,BookClockBalloonSunPlanet,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,32,DrumMugHydrantCloverRainbow,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,33,LeafTireHatClockShoeDuck,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,34,StarBellRainbowChairCakePresent,NA,NA,NA,NA,,,,,,,,,1,no data
12072018-Ž,3.764544832,F,Slovenian,Vesna,JA,1,more than 20% of data missing,,,,WPPSI,35,RainbowPresentCakeHatShoeBellLeaf,NA,NA,NA,NA,,,,,,,,,1,no data
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,GiveN,1,6,NA,5,5,0,,,,,,,,,0,
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,GiveN,2,9,NA,6,6,0,,,,,,,,,0,
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,GiveN,3,7,NA,7,7,1,,,,,,,,,0,
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,GiveN,4,5,NA,10,10,0,,,,,,,,,0,
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,SF,Training,1,3,,3,0,0,0,0,0,0,0,failed many times,After many tries finally suceed,0,
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,SF,1,5,6,6,6,1,0,0,0,0,0,0,,,0,
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,SF,2,7,9,9,9,0,0,0,0,0,0,0,,,0,
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,SF,3,16,17,17,17,1,0,0,0,0,0,0,,,0,
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,SF,4,24,26,26,26,0,0,0,0,0,0,0,,,0,
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,SF,5,52,53,53,53,1,0,0,0,0,0,0,,23->53,0,
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,SF,6,71,NA,NA,NA,NA,NA,0,NA,,,,,Dion't want to play anymore. ,1,no data
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,SF,7,105,NA,NA,NA,NA,NA,,NA,,,,,,1,no data
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,SF,8,107,NA,NA,NA,NA,NA,,NA,,,,,,1,no data
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,SF,9,116,NA,NA,NA,NA,NA,,NA,,,,,,1,no data
18072018-B,4.254620123,F,Slovenian,Vesna,JA,,,,,,SF,10,224,NA,NA,NA,NA,NA,,NA,,,,,,1,no data
