SID,Last_successful,Error,Prompt,After_prompt,IHC_single,IHC_double,FHC_single,FHC_double,Special_count,Note,hundred-syntax,Exclude,Exclude_reason,Validated,raw-count
070918-LF-04,109,120,110,111,109,109,140,140,,,101 correct,0,,RMS,
070918-LF-05,109,IDK,110,IDK,109,109,109,109,,,dropped 0 for 101 (1 bak 1),0,,RMS,1 bak 1
070918-LF-06,140,NA,NA,NA,140,140,140,140,,,101 correct; addd 0 for 110 (1 bak 0 ten),0,,RMS,
070918-LF-07,100,IDK,101,102,100,100,149,149,,,101 and 110 provided by E,0,,RMS,
070918-LF-07,105,IDK,106,107,100,100,149,149,,,,0,,RMS,
070918-LF-07,109,IDK,110,111,100,100,149,149,,,,0,,RMS,
070918-LF-07,119,IDK,120,121,100,100,149,149,,,,0,,RMS,
070918-LF-07,129,IDK,130,131,100,100,149,149,,,,0,,RMS,
070918-LF-07,139,IDK,140,141,100,100,149,149,,,,0,,RMS,
071018-LF-08,109,IDK,110,IDK,109,109,109,109,,,101 correct,0,,RMS,
071018-LF-09,109,200,110,111,109,109,141,141,,,101 correct,0,,RMS,
071018-LF-09,119,IDK,120,121,109,109,141,141,,,,0,,RMS,
071018-LF-09,129,IDK,130,131,109,109,141,141,,,,0,,RMS,
071018-LF-10,111,"122,123",112,113,111,111,140,140,,,101 correct,0,,RMS,
071018-LF-10,119,130,120,121,111,111,140,140,,,,0,,RMS,
071018-LF-10,129,140,130,131,111,111,140,140,,,,0,,RMS,
071018-LF-11,140,NA,NA,NA,140,140,140,140,,,101 and 110 correct,0,,RMS,
071018-LF-12,100,1101,101,102,100,100,109,109,,,,0,,RMS,
071018-LF-12,109,IDK,110,IDK,100,100,109,109,,,read out digits for 101 (one one zero one and that's wrong),0,,RMS,
071018-LF-13,100,IDK,101,102,100,100,109,109,,,101 provided by E,0,,RMS,
071018-LF-13,109,IDK,110,IDK,100,100,109,109,,,,0,,RMS,
071018-LF-14,100,IDK,101,102,100,100,140,140,,,101 provided by E,0,,RMS,
071018-LF-14,109,IDK,110,111,100,100,140,140,,,,0,,RMS,
071018-LF-14,119,IDK,120,121,100,100,140,140,,,,0,,RMS,
071018-LF-14,129,IDK,130,131,100,100,140,140,,,,0,,RMS,
071018-LF-15,109,IDK,110,111,109,109,152,152,,,101 correct,0,,RMS,
071018-LF-15,119,113,120,121,109,109,152,152,,,,0,,RMS,
071018-LF-15,129,IDK,130,131,109,109,152,152,,,,0,,RMS,
071018-LF-15,139,IDK,140,141,109,109,152,152,,,,0,,RMS,
071018-LF-16,39,20,40,41,39,39,109,109,,,,0,,RMS,
071018-LF-16,99,20,100,101,39,39,109,109,,,dropped 0 for 101 (1 bak 1),0,,RMS,
071018-LF-16,109,IDK,110,IDK,39,39,109,109,,,,0,,RMS,
071018-LF-17,100,IDK,101,102,100,100,109,109,,,101 provided by E,0,,RMS,
071018-LF-17,109,IDK,110,IDK,100,100,109,109,,,,0,,RMS,
071118-LF-22,29,50,30,31,29,29,68,68,,,,0,,RMS,
071118-LF-22,39,IDK,40,41,29,29,68,68,,,,0,,RMS,
071118-LF-22,49,IDK,50,51,29,29,68,68,,,,0,,RMS,
071118-LF-22,68,IDK,69,IDK,68,29,68,68,,,,0,,RMS,
071118-LF-23,39,IDK,40,IDK,39,39,39,39,,,,0,,RMS,
071118-LF-25,109,IDK,110,111,109,109,149,149,,,,0,,RMS,
071118-LF-25,119,IDK,120,121,109,109,149,149,,,,0,,RMS,
071118-LF-25,129,IDK,130,131,109,109,149,149,,,,0,,RMS,
071118-LF-25,139,IDK,140,141,139,109,149,149,,,droped 0 for 101 (1 bak 1),0,,RMS,
071118-LF-26,109,IDK,110,"120, 130",109,109,109,109,,,dropped 0 for 101 (1 bak 1),0,,RMS,
071118-LF-27,29,40,30,31,29,29,109,109,,,,0,,RMS,
071118-LF-27,32,34,33,34,29,29,109,109,,,,0,,RMS,
071118-LF-27,39,IDK,40,41,29,29,109,109,,,,0,,RMS,
071118-LF-27,49,IDK,50,50,29,29,109,109,,,,0,,RMS,
071118-LF-27,59,IDK,60,61,29,29,109,109,,,,0,,RMS,
071118-LF-27,69,IDK,70,71,29,29,109,109,,,,0,,RMS,
071118-LF-27,75,77,76,77,29,29,109,109,,,,0,,RMS,
071118-LF-27,77,IDK,78,79,29,29,109,109,,,,0,,RMS,
071118-LF-27,79,IDK,80,81,29,29,109,109,,,,0,,RMS,
071118-LF-27,89,IDK,90,91,29,29,109,109,,,,0,,RMS,
