SID,Last_successful,Error,Prompt,After_prompt,IHC_single,IHC_double,FHC_single,FHC_double,Special_count,Note,hundred-syntax,Exclude,Exclude_reason,Validated,raw-count
070918-SWH-01,59,IDK,60,61,39,39,109,109,,,,0,,RMS,
070918-SWH-01,69,IDK,70,71,39,39,109,109,,,,0,,RMS,
070918-SWH-01,76,75,77,78,39,39,109,109,,,,0,,RMS,
070918-SWH-01,79,IDK,80,81,39,39,109,109,,,,0,,RMS,
070918-SWH-01,89,IDK,90,91,39,39,109,109,,,,0,,RMS,
070918-SWH-01,99,IDK,100,101,39,39,109,109,,,,0,,RMS,
070918-SWH-01,109,IDK,110,102,39,39,109,109,,,,0,,RMS,
070918-SWH-02,15,12,16,17,15,15,79,79,,,,0,,RMS,
070918-SWH-02,49,IDK,50,51,49,15,79,79,,,,0,,RMS,"1-17 [can you speak louder? wca 15. I think E couldn't hear kid counted to 17] [16] 17-24 [wca 24] 25-49 [50] 51-69, 100 [70], 71-79, 100 [wca 78; E thought kid stopped at 78. loud background] 100 [79] [wca 79] 100"
070918-SWH-02,69,100,70,71,49,15,79,79,,,,0,,RMS,
070918-SWH-02,79,100,79,100,49,15,79,79,,,,0,,RMS,
070918-SWH-03,10,FROG,11,12,10,10,27,27,,,,0,,RMS,"1-10 (kid said something Calvin laughed but I can't hear; doesn't sound like a number) [11] 12-18, 21 [19] 20, 20 7 [21], 22-27, 29 [28] [27, 28] NR"
070918-SWH-03,18,21,19,20,10,10,27,27,,,,0,,RMS,
070918-SWH-03,20,27,21,22,10,10,27,27,,,,0,,RMS,
070918-SWH-03,27,29,28,IDK,10,10,27,27,,,,0,,RMS,
070918-SWH-06,29,31,30,34,29,29,29,29,,,,0,,RMS,"1-29, 31, 32 [wca 29] 29 [30] 34"
070918-SWH-07,20,IDK,21,IDK,20,20,20,20,,,,0,,RMS,1-20 [21] 1 (sounds like kid was going to restart from 1?)
070918-SWH-08,29,50,30,31,29,29,107,107,,,dropped 0 for 101 (1 bak 1),0,,RMS,"1-29, 50, [30] 31-39 [40] 41-59 [60] 61-69 [70] 71-79 [80] 81-89 [90] 91-99 [100] 101-107 [108] (but say 1 bak 1 to 1 bak 7)"
070918-SWH-08,39,IDK,40,41,29,29,107,107,,,,0,,RMS,
070918-SWH-08,59,IDK,60,61,29,29,107,107,,,,0,,RMS,
070918-SWH-08,69,IDK,70,71,29,29,107,107,,,,0,,RMS,
070918-SWH-08,79,IDK,80,81,29,29,107,107,,,,0,,RMS,
070918-SWH-08,89,IDK,90,91,29,29,107,107,,,,0,,RMS,
070918-SWH-08,99,IDK,100,101,29,29,107,107,,,,0,,RMS,
070918-SWH-08,107,NA,108,NR,29,29,107,107,,,,0,,RMS,
070918-SWH-10,14,25,15,restart/14,14,14,14,14,kid attempted to restart when prompted with 15 the first time,,,0,,RMS,"1-14, 25, [wca 14] 20 [15] 1-3 [15] [14, 15] 25"
070918-SWH-12,29,21,30,34,29,29,29,29,,,,0,,RMS,"1-29, 20..., [wca 29] 21 [30] 34"
070918-SWH-13,18,20,19,20,18,18,38,38,,,,0,,RMS,"1-18, 20, 21 [19] 20-38, 20, [39]"
070918-SWH-13,38,20,39,20,18,18,38,38,,,,0,,RMS,
070918-SWH-18,19,13,20,22,19,19,19,19,,,,0,,RMS,"1-19, 12 [20] 22"
070918-SWH-37,109,NA,110,111,109,109,149,149,,,,0,,RMS,"1-4, 6 [wca 4] 5-89, 100 [wca 89] 90-100, 101-109 [110] [110 rising] 111-117, 188, 189, [118] 118-119 [120] 121-129 [130] 131-139 [140] 141-149"
070918-SWH-37,117,188,118,119,109,109,149,149,,,,0,,RMS,
070918-SWH-37,119,NA,120,121,109,109,149,149,,,,0,,RMS,
070918-SWH-37,129,NA,130,131,109,109,149,149,,,,0,,RMS,
070918-SWH-37,139,IDK,140,141,109,109,149,149,,,,0,,RMS,
070918-SWH-53,100,IDK,101,102,100,100,149,149,,,,0,,RMS,"1-100 [101] 102-109 [110] 111-110 [120] 121-129, 4.. [130] 131-139 [wca 139] [139 rising] 140"
070918-SWH-53,109,NA,110,111,100,100,149,149,,,,0,,RMS,
070918-SWH-53,119,NA,120,121,100,100,149,149,,,,0,,RMS,
070918-SWH-53,129,4...,130,131,100,100,149,149,,,,0,,RMS,
070918-SWH-61,50,60,51,52,50,50,109,109,,,,0,,RMS,"1-50, 60 [51] 52-100 [101] 102-109, 200, [110] 110, 120, 130"
070918-SWH-61,100,IDK,101,102,50,50,109,109,,,,0,,RMS,
070918-SWH-61,109,200,110,120,50,50,109,109,,,,0,,RMS,
